inspection_id,inspection_date,facility_type,risk,inspection_type,zip,city,latitude,longitude,results,violations,target_fail,viol_count
134247,2010-01-07,Restaurant,risk 1 (high),Canvass,60647.0,CHICAGO,41.92447370979,-87.71866668043,fail,,1,0
2582303,2023-09-26,School,risk 1 (high),Canvass,60609.0,CHICAGO,41.80726346792,-87.6611385556,pass,,0,0
1950562,2016-08-16,Restaurant,risk 3 (low),Canvass,60610.0,CHICAGO,41.90809991423,-87.6347637618,pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: INSTRUCTED TO PROVIDE PROPER LABELS FOR PRE-PACKAGED FOODS OFFERED FOR SALE ON FRONT COUNTER AND SHELFS INCLUDE NAME OF PRODUCT,NAME,ADDRESS AND ZIP CODE OF THE MANUFACTURER,NET CONTENTS OF PACKAGE,A LIST OF INGREDIENTS. ",0,1
1493806,2014-08-19,Restaurant,risk 1 (high),Canvass,60649.0,CHICAGO,41.76567111159,-87.56665317271,fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: REFRIGERATED PREP TABLE NOT MAINTAINING ADEQUATE TEMPERATURE. AIR TEMP RECORDED AT 45.1F. INSTRUCTED TO REMOVE ALL POTENTIALLY HAZARDOUS FOODS FROM UNIT WHICH IS BEING TAGGED HELD FOR INSPECTION, AND HAVE IT SERVICED. CRITICAL VIOLATION 7-38-005(A). | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: PRE-COOKED EGG ROLLS-70.2F, COOKED BEEF-52.1F, COOKED CHICKEN-51.2F, EGGS-49.7F, SHRIMP-46.2F, EGG ROLLS-55.7F. ALL HOT FOODS MUST BE MAINTAINED AT 140 DEGREES OR ABOVE, ALL COLD FOODS MUST BE MAINTAINED AT 40 DEGREES OR BELOW, AND ALL COOKED FOODS MUST BE COOLED WITHIN 6 HOURS (140 TO 70 DEGREES IN 2 HOURS AND FROM 70 TO 40 DEGREES IN 4 HOURS). ALL FOODS FOUND AT IMPROPER TEMPERATURES DISCARDED. CRITICAL VIOLATION 7-38-005(A). | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: PREVIOUS MINOR VIOLATIONS NOTED ON REPORT#1154937 DATED MARCH 14, 2013 NOT CORRECTED:-30-CLEAN ALL BULK CONTAINERS. LABEL ALL PREPARED FOOD IN COOLER. -36- ALL LIGHT SHIELDS THROUGHOUT STILL IN NEED OF CLEANING.-41-STORE MOP HEAD UPRIGHT TO PREVENT INSECT BREEDING. ORGANIZE WALK-IN COOLER.-42- FOOD HANDLERS WEARING UNCLEAN APRONS.-43-IMPROPERLY STORING WASH CLOTHS. SERIOUS VIOLATION FOR NON COMPLIANCE 7-42-090. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: SEE VIOLATION #29. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN THE FOLLOWING: ALL PREP TABLES AND SHELVES UNDERNEATH(INCLUDING LEGS AND WHEELS ATTACHED), INTERIORS AND EXTERIORS OF ALL WOK COOKING STATIONS, DEEP FRYERS, ALL COOLERS AND FREEZERS, INTERIORS AND EXTERIORS OF ALL SINKS, ALL STORAGE RACKS INSIDE ALL COOLERS AND FREEZERS,AND ALL MULTIUSE EQUIPMENT(BOWLS, PANS UTENSILS). | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS THROUGHOUT EVERY SECTION OF ESTABLISHMENT( FOOD PREP, FOOD STORAGE, DISHWASHING AND WASHROOM AREAS ALL NEED CLEANING ALONG THE BASES OF THE WALLS, AND IN CORNERS(LOT'S OF DEBRIS AND DIRT). | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN THE FOLLOWING: ALL DOORS AND DOOR HANDLES(STICKY RESIDUE AND DIRT), ALL WALLS THROUGHOUT(SPILLS. SPLATTERS DIRT), ALL STAINED CEILING TILES. CLEAN ALL DIRT DUST AND DEBRIS FROM ALL LIGHT SHIELDS THROUGHOUT. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: PROVIDE BRIGHTER LIGHT IN WASHROOM, VERY DARK, DIFFICULT TO SEE WITHOUT A FLASH LIGHT. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: SEE VIOLATION  #29. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: SEE VIOLATION #29. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: SEE VIOLATION #29. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: SEE VIOLATION #29.",1,17
2553721,2022-03-31,Restaurant,risk 1 (high),Short Form Complaint,60614.0,CHICAGO,41.93020067764,-87.64376068789,pass,"57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  2-102.13 NO FOOD HANDLER TRAINING CERTIFICATE PROVIDED ON SITE,INSTRUCTED TO PROVIDE | 58. ALLERGEN TRAINING AS REQUIRED - Comments:  2-102.13) NO ALLERGEN TRAINING CERTIFICATES PROVIDED ON SITE. INSTRUCTED TO PROVIDE FOR ALL CERTIFIED FOOD SERVICE MANAGERS",0,2
2362455,2020-02-18,Restaurant,risk 1 (high),Canvass,60656.0,CHICAGO,41.97464055685,-87.8075566393,pass w/ conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HAND WASHING SIGNAGE AT EVERY HAND SINK. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: INSTRUCTED TO PROPERLY LABEL AND DATE READY TO EAT TCS FOODS HELD OVER 24 HOURS INSIDE COOLERS. MUST IDENTIFY PRODUCT SHELF LIFE OR ""CONSUME BY"" DATING (7 DAYS FROM PREPARATION DATE). PRIORITY FOUNDATION VIOLATION 7-38-005  NO CITATION  ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE ALL COOLERS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO CLEAN AND REMOVE FOIL LINER ON SHELVES AND UNDERNEATH COOKING EQUIPMENT. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT (MIXERS, STOVE, FRYERS ETC) WITH GREASE ACCUMULATION IN PREP/COOKING AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR PREP/COOKING AREA, AND IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN CONDENSER FAN COVER WITH DUST AND MOLD LIKE ACCUMULATION INSIDE WALK-IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND REMOVE UNNECESSARY ARTICLES IN REAR STORAGE AREA. USABLE (FOOD AND NON FOOD) ITEMS MUST BE STORED 6"" OFF THE FLOOR FOR EASY ACCESS ON CLEANING. NO MILK CRATES. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: NOTED UN VENTED (2) OVEN IN REAR PREP/COOKING AREA. INSTRUCTED TO PROVIDE PROPER VENTILATION OR SPECS.",0,9
2359732,2020-01-31,Golden Diner,risk 1 (high),Canvass,60657.0,CHICAGO,41.93419516579,-87.64140393809,pass,,0,0
2544262,2021-11-09,Restaurant,risk 1 (high),License Re-Inspection,60611.0,CHICAGO,41.89658772206,-87.62670543708,pass,,0,0
2064833,2017-06-23,Restaurant,risk 1 (high),Canvass,60625.0,CHICAGO,41.98186603683,-87.69283405676,pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST INSTALL A SPLASH GUARD BETWEEN THE EXPOSED HAND SINK AND THE ICE BIN BEHIND THE SMALL BAR.  INSTALL/PROVIDE LID/COVER FOR THE  ICE BIN BEHIND THE SMALL BAR  AND MAINTAIN.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: SLOW DRAINING OF THE EXPOSED HAND SINK BEHIND THE MAIN BAR AND THE WASHBOWL SINK (ONE OUT OF TWO) IN THE WOMEN'S WASHROOM IN THE BASEMENT. MUST REPAIR TO HAVE A WELL DRAINING SINK. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: ICE SCOOP MUST BE STORED ON A SEPARATE CONTAINER TO PREVENT POSSIBLE CONTAMINATION,NOT INSIDE THE ICE BIN. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: NO FOOD HANDLERS CERTIFICATE FOR THE FOUR EMPLOYEES. MUST PROVIDE.",0,4
2252215,2019-01-09,Children's Services Facility,risk 1 (high),License,60639.0,CHICAGO,41.92411853338,-87.76375122298,pass,,0,0
